疙 pimple
紇 knot
肐 armpit
胳 armpit
鴿 pigeon
嗝 hiccup
塥 clay
挌 fight
搿 to
格 frame
膈 diaphragm
茖 allium
葛 coarse
蛤 clam
觡 horns
輵 spears
轕 confused
鎘 cadmium
閣 councilchamber
閤 councilchamber
隔 to
革 leather
骼 skeleton
鬲 surname
合 onetenth
哿 excellent
擖 scrape
舸 barge
葛 surname
蓋 surname
個 measure
各 each
箇 general
虼 flea
鉻 chromium
給 to
咁 so
根 radical
跟 to
艮 blunt
亙 extend
艮 eight
茛 ranunculus
庚 heavenly
更 to
浭 river
緪 a
羹 soup
耕 to
賡 continue
鶊 oriole
哽 choking
埂 channel
梗 stem
綆 rope
耿 surname
郠 place
骾 blunt
鯁 blunt
更 more
供 offer
公 just
功 merit
宮 palace
工 work
弓 bow
恭 respectful
攻 to
篢 bamboo
肱 brachium
蚣 scolopendra
觥 big
躬 body
魟 ray
龔 surname
廾 hands
拱 hands
栱 post
汞 mercury
珙 gem
鞏 secure
供 offer
共 all
貢 tribute
勾 to
枸 Acgle
溝 ditch
篝 bamboo
緱 surname
鉤 entice
韝 archers
岣 name
枸 Lycium
狗 dog
笱 trapping
耇 wrinkled
苟 surname
茍 surname
冓 inner
勾 affair
垢 dirt
夠 to
姤 copulate
媾 to
彀 enough
搆 implicate
構 Broussonetia
覯 complete
